2040          1.334109802480e-01    2.566414558776e-07    2.818071341344e+03    6.822959991666e-02    3.623221865614e-03    4.532216036753e-03    3.598661528289e-02    6.004288086154e-01    7.413681267818e-03    3.534701714623e-06    8.693264693062e-07    2.797814529867e-01
2050          1.334136796121e-01    2.875011428304e-07    2.827958437463e+03    6.830494708199e-02    3.527716020320e-03    4.416863624274e-03    3.572007590948e-02    6.009485500304e-01    7.295971781355e-03    3.591103249876e-06    8.314622061322e-07    2.797814529867e-01
2060          1.334167240354e-01    3.270642755336e-07    2.837830336412e+03    6.837967382609e-02    3.433302090018e-03    4.302607238631e-03    3.544647831304e-02    6.014733025786e-01    7.178740188039e-03    3.647723257454e-06    7.950555582533e-07    2.797814529867e-01
2070          1.334202181580e-01    3.796707088545e-07    2.847682297757e+03    6.845375287268e-02    3.340030971531e-03    4.189522166410e-03    3.516597380951e-02    6.020027640984e-01    7.062038615345e-03    3.704412522204e-06    7.600669235025e-07    2.797814529867e-01
2080          1.334243234177e-01    4.530951944882e-07    2.857507057852e+03    6.852713900499e-02    3.247975109739e-03    4.077710046506e-03    3.487880294112e-02    6.025364839897e-01    6.945948453621e-03    3.761002538570e-06    7.264651000566e-07    2.797814529867e-01
2090          1.334293080235e-01    5.627556088601e-07    2.867292656192e+03    6.859975358578e-02    3.157247267817e-03    3.967321882439e-03    3.458537118550e-02    6.030737359782e-01    6.830605586971e-03    3.817293774935e-06    6.942328339794e-07    2.797814529867e-01
2100          1.334356672179e-01    7.440371213106e-07    2.877017299006e+03    6.867144784457e-02    3.068045005804e-03    3.858612677135e-03    3.428642614335e-02    6.036132188401e-01    6.716260093981e-03    3.873027976643e-06    6.633803314178e-07    2.797814529867e-01
2110          1.334444787938e-01    1.099314987596e-06    2.886634560309e+03    6.874189705559e-02    2.980779303174e-03    3.752099159461e-03    3.398356605793e-02    6.041521953614e-01    6.603448283291e-03    3.927808022790e-06    6.339844323315e-07    2.797814529867e-01
2120          1.334589052233e-01    2.087353692297e-06    2.896014089910e+03    6.881017564923e-02    2.896591597166e-03    3.649193914199e-03    3.368126268742e-02    6.046830535433e-01    6.493682499192e-03    3.980775002468e-06    6.063477499259e-07    2.797814529867e-01
2130          1.335001838451e-01    1.216131072341e-05    2.904424065927e+03    6.887104008446e-02    2.821886997562e-03    3.557762353607e-03    3.340437547225e-02    6.051633944773e-01    6.395477452065e-03    4.027769277026e-06    5.824067682740e-07    2.797814529867e-01
2140          1.377494283731e-01    1.000000000000e-03    2.905847550522e+03    6.888130902011e-02    2.809315926374e-03    3.542365923936e-03    3.335696250120e-02    6.052451044772e-01    6.378875063802e-03    4.035669452196e-06    5.784311833988e-07    2.797814529867e-01
2150          1.477494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926670e-03    3.542365924297e-03    3.335696250232e-02    6.052451044753e-01    6.378875064193e-03    4.035669452010e-06    5.784311834920e-07    2.797814529867e-01
2160          1.577494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2170          1.677494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2180          1.777494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2190          1.877494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2200          1.977494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2210          2.077494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2220          2.177494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2230          2.277494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2240          2.377494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2250          2.477494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2260          2.577494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2270          2.677494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2280          2.777494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2290          2.877494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2300          2.977494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2310          3.077494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2320          3.177494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2330          3.277494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2340          3.377494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2350          3.477494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2360          3.577494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
2370          3.677494283731e-01    1.000000000000e-03    2.905847550488e+03    6.888130901986e-02    2.809315926671e-03    3.542365924299e-03    3.335696250232e-02    6.052451044753e-01    6.378875064194e-03    4.035669452009e-06    5.784311834924e-07    2.797814529867e-01
